Country Name,Latitude (generated),Longitude (generated),GDP
IDA blend,,,1055271972787.79
IDA & IBRD total,,,29510452511451
Iceland,64.826,-18.417,17304033020.5364
IBRD only,,,27417808169925.2
Hungary,47.174,19.618,140118140454.711
"Hong Kong SAR, China",22.4114,114.0599,291459356985.337
Honduras,14.881,-87.123,19756494434.7031
High income,,,51048743606969
Heavily indebted poor countries (HIPC),,,650445161954.419
Haiti,19.3175,-72.4205,8776350789.5993
Guyana,5.17,-58.939,3077086275.94585
Guinea-Bissau,12.191,-14.475,1053512334.25891
Guinea,10.599,-10.907,8765067644.04257
Guatemala,15.124,-90.711,58722323918.1604
Guam,13.45,144.7579,5531000000
Grenada,12.111,-61.6867,911481481.481481
Greenland,71,-39,2837737193.76392
Greece,39.787,21.617,237029579260.722
Ghana,7.258,-1.062,39086625008.6213
Germany,51.3819,9.9877,3890606893346.69
Georgia,42.05,43.576,16509305827.7171
"Gambia, The",13.499,-14.641,833249466.848777
Gabon,-0.406,11.914,18179666879.0389
France,46.656,2.543,2852165760630.27
Fragile and conflict affected situations,,,854436872033.342
Finland,62.716,26.192,272609288689.575
Fiji,-17.7941,177.9783,4483416339.93854
Faroe Islands,62.1252,-7.0174,2810547884.18708
European Union,,,18635535561984.7
Europe & Central Asia (IDA & IBRD countries),,,4624592551758.33
Europe & Central Asia (excluding high income),,,4021783448232.2
Europe & Central Asia,,,23658228163840.5
Euro area,,,13478925371853.1
Ethiopia,8.435,38.786,55612228233.5179
Eswatini,-26.5203,31.4607,4377293816.28535
Estonia,58.777,25.977,26224622450.8302
Equatorial Guinea,1.6342,10.4695,21736500712.9638
El Salvador,13.848,-89.229,22585841200
"Egypt, Arab Rep.",26.16,28.742,305529656458.438
Ecuador,-1.151,-78.308,101726331000
East Asia & Pacific (IDA & IBRD countries),,,12732924778295
East Asia & Pacific (excluding high income),,,12757487627750.3
East Asia & Pacific,,,21914173792948.9
Dominican Republic,19.01,-70.1685,66065015410.0468
Dominica,15.4238,-61.3411,523666333.333333
Djibouti,11.41,42.165,1455035088.74594
Denmark,56.113,9.096,352993633221.281
Czech Republic,49.848,15.2812,207818330723.835
Cyprus,34.894,32.928,23359294148.8656
Cuba,20.571,-76.456,80656100000
Croatia,45.754,16.385,57629518805.8871
Cote d'Ivoire,7.497,-5.336,35372603446.2605
Costa Rica,10.126,-84.075,50577769837.7462
"Congo, Rep.",0.509,16.08,14177437982.2619
"Congo, Dem. Rep.",-1.418,23.607,35917650629.612
Comoros,-11.6527,43.3307,647720707.076428
Colombia,3.794,-73.606,378195716714.266
China,35.1753,99.3877,10482372109961.9
Chile,-23.176,-69.201,260584090570.988
Chad,15.981,18.781,13922223233.5184
Central Europe and the Baltics,,,1463900229119.28
Central African Republic,7.043,21.424,1702899386.14322
Caribbean small states,,,72525038827.606
Canada,59.2067,-111.1937,1799268695861.8
Cameroon,4.4,12.131,34942948737.3967
Cambodia,12.69,104.444,16702610842.4025
Cabo Verde,15.416,-23.36,1858121723.32185
Burundi,-3.333,29.749,3093647226.8107
Burkina Faso,12.673,-1.226,12377391462.6377
Bulgaria,42.625,24.521,56731990231.9902
Brunei Darussalam,4.452,114.557,17098342541.4365
Brazil,-11.694,-48.978,2455993625159.37
Botswana,-22.126,23.662,16250774266.6656
Bosnia and Herzegovina,44.342,17.804,18558343508.3435
Bolivia,-16.71,-65.183,32996187988.4226
Bhutan,27.5342,90.3002,1944782820.88824
Benin,10.478,2.274,9707432015.61441
Belize,17.108,-88.744,1703951050
Belgium,50.6745,4.4588,530770977633.615
Belarus,53.3292,27.9492,78813839984.3506
Barbados,13.1898,-59.559,4608350000
Bangladesh,24.598,90.1963,172885454931.453
Bahrain,26.025,50.5534,33387712765.9575
"Bahamas, The",24.7032,-78.0455,10957300000
Azerbaijan,40.46,47.883,75244294275.1498
Austria,47.65,14.705,441885415805.825
Australia,-24.578,133.582,1464955475993.76
Armenia,40.56,44.449,11609512939.7543
Argentina,-33.166,-64.31,526319673731.638
Arab World,,,2906918403546.86
Antigua and Barbuda,17.625,-61.786,1280133333.33333
Angola,-12.836,17.808,126730196125.425
Andorra,42.5425,1.5893,3350736367.25488
American Samoa,-14.3018,-170.7511,643000000
Algeria,28.6045,2.64,213810022462.428
Albania,40.654,20.076,13228244357.1813
